model,set,layer,disc_mean,val_mean,ci_lo,ci_hi,pos_frac
qwen3,strict,25,0.01123046875,-0.0087890625,-0.04833984375,0.0283203125,0.4375
qwen3,strict,26,0.02734375,0.02001953125,-0.0107421875,0.05078125,0.421875
qwen3,strict,27,0.043701171875,0.02978515625,-0.00537109375,0.06640625,0.3671875
qwen3,strict,28,0.13623046875,0.14111328125,0.09617919921875001,0.1884765625,0.5859375
qwen3,strict,29,0.057861328125,0.0166015625,-0.021496582031249996,0.05517578125,0.3828125
qwen3,strict,30,0.069580078125,0.015625,-0.03125,0.06591796875,0.390625
qwen3,strict,31,0.063720703125,0.03857421875,-0.01025390625,0.08740234375,0.421875
qwen3,strict,32,-0.007080078125,0.03662109375,-0.0087890625,0.08447265625,0.390625
qwen3,strict,33,0.10791015625,0.08740234375,0.04833984375,0.12744140625,0.5390625
qwen3,strict,34,0.042236328125,0.0361328125,-0.00048828125,0.0751953125,0.390625
qwen3,strict,35,0.003173828125,0.00244140625,-0.029309082031249996,0.0341796875,0.3359375
qwen3,strict,36,0.033203125,-0.00146484375,-0.06787109375,0.052734375,0.46875
qwen3,strict,37,0.058349609375,0.0458984375,-0.0009765625,0.091796875,0.484375
qwen3,strict,38,0.11572265625,0.1220703125,0.07958984375,0.166015625,0.578125
qwen3,strict,39,0.072509765625,0.04931640625,0.0029296875,0.0927734375,0.4609375
qwen3,strict,40,0.475830078125,0.396484375,0.3017578125,0.4946411132812498,0.671875
qwen3,strict,41,0.250732421875,0.236328125,0.16259765625,0.3134765625,0.6796875
qwen3,strict,42,0.57080078125,0.54736328125,0.447265625,0.6464965820312498,0.8359375
qwen3,strict,43,0.5751953125,0.569091796875,0.431634521484375,0.7077697753906249,0.78125
qwen3,strict,44,0.93170166015625,0.921142578125,0.734613037109375,1.119390869140625,0.8125
qwen3,strict,45,-0.18474578857421875,-0.22314453125,-0.38673095703125,-0.06982421875,0.34375
qwen3,strict,46,-0.22998046875,-0.1669921875,-0.27294921875,-0.06492919921875018,0.359375
qwen3,strict,47,-0.065185546875,-0.078857421875,-0.232672119140625,0.08057250976562491,0.3671875
qwen3,relaxed,0,0.0072021484375,0.014404296875,-0.011962890625,0.0400390625,0.32421875
qwen3,relaxed,1,0.0008544921875,0.0009765625,-0.034423828125,0.037841796875,0.30078125
qwen3,relaxed,2,-0.012939453125,0.005126953125,-0.035400390625,0.04273071289062491,0.375
qwen3,relaxed,3,-0.01019287109375,0.0034027099609375,-0.06061363220214844,0.0552978515625,0.375
qwen3,relaxed,4,0.01171875,0.0150146484375,-0.0133056640625,0.042849731445312456,0.34765625
qwen3,relaxed,5,0.0166015625,0.005126953125,-0.01953125,0.03076171875,0.35546875
qwen3,relaxed,6,0.0142822265625,0.009521484375,-0.0205078125,0.037841796875,0.34765625
qwen3,relaxed,7,-0.00634765625,0.0230712890625,-0.009524536132812499,0.0560302734375,0.35546875
qwen3,relaxed,8,-0.0032958984375,0.005615234375,-0.02099609375,0.03247680664062491,0.3515625
qwen3,relaxed,9,-0.00048828125,0.0166015625,-0.0087890625,0.04248657226562491,0.36328125
qwen3,relaxed,10,-0.002685546875,-0.0147705078125,-0.0413848876953125,0.009033203125,0.3359375
qwen3,relaxed,11,-0.002197265625,0.0242919921875,-0.001345825195312499,0.0506591796875,0.3515625
qwen3,relaxed,12,-0.0111083984375,0.0111083984375,-0.0108642578125,0.033447265625,0.34375
qwen3,relaxed,13,0.0142822265625,0.0164794921875,-0.007571411132812499,0.04052734375,0.3671875
qwen3,relaxed,14,0.0020751953125,0.0186767578125,-0.002932739257812499,0.042236328125,0.40625
qwen3,relaxed,15,-0.0067138671875,0.019775390625,-0.005126953125,0.044677734375,0.375
qwen3,relaxed,16,0.0152587890625,0.0595703125,0.0322265625,0.088134765625,0.4375
qwen3,relaxed,17,-0.0098876953125,0.013671875,-0.010009765625,0.037353515625,0.3359375
qwen3,relaxed,18,0.03515625,0.046630859375,0.009765625,0.084716796875,0.46875
qwen3,relaxed,19,-0.0250244140625,0.024169921875,-0.008795166015624998,0.05640258789062491,0.37109375
qwen3,relaxed,20,-0.0321044921875,-0.00146484375,-0.030517578125,0.027587890625,0.33203125
qwen3,relaxed,21,-0.007568359375,0.0244140625,-0.000732421875,0.048583984375,0.36328125
qwen3,relaxed,22,-0.00244140625,0.012939453125,-0.009033203125,0.03515625,0.37890625
qwen3,relaxed,23,-0.0152587890625,-0.0076904296875,-0.029788208007812497,0.01513671875,0.31640625
qwen3,relaxed,24,-0.017333984375,0.013671875,-0.008056640625,0.0361328125,0.3515625
qwen3,relaxed,25,-0.0230712890625,0.0205078125,-0.005615234375,0.04638671875,0.41015625
qwen3,relaxed,26,0.014404296875,0.037109375,0.015625,0.058349609375,0.4453125
qwen3,relaxed,27,0.01904296875,0.0472412109375,0.020870971679687503,0.07398071289062491,0.42578125
qwen3,relaxed,28,0.132568359375,0.172119140625,0.1357421875,0.2109436035156249,0.6171875
qwen3,relaxed,29,0.0482177734375,0.036865234375,0.010498046875,0.063232421875,0.43359375
qwen3,relaxed,30,0.029296875,0.0928955078125,0.0517547607421875,0.13562316894531246,0.46875
qwen3,relaxed,31,0.0435791015625,0.032470703125,0.00048828125,0.0634765625,0.41015625
qwen3,relaxed,32,0.0284423828125,0.015625,-0.017822265625,0.048828125,0.375
qwen3,relaxed,33,0.068603515625,0.099609375,0.06640625,0.136474609375,0.53515625
qwen3,relaxed,34,0.0462646484375,0.06640625,0.04150390625,0.09302368164062491,0.4609375
qwen3,relaxed,35,-0.0018310546875,0.0126953125,-0.008056640625,0.033203125,0.375
qwen3,relaxed,36,0.0263671875,0.013916015625,-0.023681640625,0.04833984375,0.453125
qwen3,relaxed,37,0.0665283203125,0.07080078125,0.032470703125,0.1083984375,0.5
qwen3,relaxed,38,0.1007080078125,0.0965576171875,0.06298828125,0.13134765625,0.53125
qwen3,relaxed,39,0.0689697265625,0.060791015625,0.0283203125,0.09204711914062491,0.47265625
qwen3,relaxed,40,0.421875,0.4063720703125,0.33848876953125,0.47852478027343737,0.71875
qwen3,relaxed,41,0.2244873046875,0.24755859375,0.197991943359375,0.30029296875,0.69140625
qwen3,relaxed,42,0.5341796875,0.558837890625,0.4873046875,0.63037109375,0.8046875
qwen3,relaxed,43,0.506591796875,0.5718994140625,0.4711883544921875,0.674072265625,0.765625
qwen3,relaxed,44,0.861114501953125,0.7906494140625,0.66771240234375,0.9090576171875,0.80859375
qwen3,relaxed,45,-0.12447738647460938,-0.142578125,-0.2498809814453125,-0.037353515625,0.37890625
qwen3,relaxed,46,-0.185791015625,-0.122802734375,-0.20436401367187498,-0.039306640625,0.41015625
qwen3,relaxed,47,-0.0543212890625,-0.0733642578125,-0.1815216064453125,0.041015625,0.421875
