kind,layer,mean,ci_lo,ci_hi,pos_frac,n,vnorm_mean,split,increment
attn_layer,16,0.0596923828125,0.009030151367187501,0.10803527832031246,0.421875,128,13.41065775603056,discovery,
attn_layer,17,-0.022979736328125,-0.060612487792968746,0.01685180664062491,0.34375,128,15.588987171649933,discovery,
attn_layer,18,0.69183349609375,0.551025390625,0.8388168334960936,0.7734375,128,22.646808102726936,discovery,
attn_layer,19,0.76861572265625,0.6446426391601563,0.9011398315429685,0.90625,128,24.60208258777857,discovery,
attn_layer,20,0.08123779296875,0.034846496582031254,0.13263397216796868,0.46875,128,25.079644847661257,discovery,
attn_layer,21,0.10723876953125,0.05517578125,0.16522369384765623,0.46875,128,22.478212125599384,discovery,
attn_layer,22,0.009033203125,-0.025640869140624998,0.04468383789062491,0.390625,128,18.959976207464933,discovery,
attn_layer,23,0.058349609375,0.021240234375,0.096435546875,0.5,128,23.26961785554886,discovery,
attn_layer,24,0.91802978515625,0.7716049194335938,1.0728164672851563,0.8828125,128,24.60461539775133,discovery,
attn_layer,25,0.0428466796875,0.010861206054687501,0.0777587890625,0.375,128,19.366272561252117,discovery,
attn_layer,26,0.021240234375,-0.00537109375,0.048342895507812456,0.375,128,24.668501406908035,discovery,
attn_layer,27,0.09967041015625,0.0538299560546875,0.14825592041015623,0.59375,128,31.60113302618265,discovery,
attn_layer,28,0.08380126953125,0.036616516113281254,0.12872467041015623,0.5546875,128,35.703445851802826,discovery,
attn_layer,29,0.58428955078125,0.47667083740234373,0.6939788818359374,0.875,128,58.09461376070976,discovery,
attn_layer,30,0.13140869140625,0.07208099365234374,0.1934814453125,0.6328125,128,57.91954552382231,discovery,
attn_layer,31,0.30507850646972656,0.18535547256469725,0.41438398361206047,0.7109375,128,471.79091840982437,discovery,
layer,0,0.06378173828125,-0.06861724853515624,0.19909973144531246,0.3828125,128,18.988131855614483,discovery,
layer,1,0.06524658203125,-0.07537994384765626,0.20710144042968737,0.40625,128,817.463900354458,discovery,
layer,2,-0.00323486328125,-0.04571533203125,0.04107666015625,0.3125,128,1.6080101348270546,discovery,
layer,3,-0.0225830078125,-0.0946075439453125,0.052615356445312456,0.328125,128,3.0284808925061952,discovery,
layer,4,-0.04345703125,-0.098388671875,0.015261840820312456,0.3046875,128,4.089290531206643,discovery,
layer,5,0.01611328125,-0.045904541015624994,0.0791015625,0.3359375,128,5.633265024793218,discovery,
layer,6,-0.01300048828125,-0.073382568359375,0.04925689697265623,0.328125,128,6.435209937742911,discovery,
layer,7,-0.02471923828125,-0.08886871337890626,0.03680572509765623,0.3671875,128,7.322575144295115,discovery,
layer,8,-0.01434326171875,-0.06915740966796875,0.03784637451171868,0.375,128,7.87684444343904,discovery,
layer,9,-0.0054779052734375,-0.08215904235839844,0.0645931243896484,0.3828125,128,12.060985625023022,discovery,
layer,10,-0.0008544921875,-0.0581085205078125,0.057861328125,0.4140625,128,9.08148311614059,discovery,
layer,11,-0.022186279296875,-0.07296905517578126,0.027954864501953114,0.3359375,128,11.987551261205226,discovery,
layer,12,-0.0668792724609375,-0.1713653564453125,0.017333984375,0.375,128,14.530836042016745,discovery,
layer,13,-0.04241943359375,-0.1026031494140625,0.012574768066406228,0.3828125,128,12.28126819897443,discovery,
layer,14,-0.0099029541015625,-0.06602630615234376,0.042755889892578114,0.3671875,128,14.956600445788354,discovery,
layer,15,0.047393798828125,-0.008516693115234375,0.10931549072265623,0.390625,128,16.81680687831249,discovery,
layer,16,0.0469970703125,-0.021853637695312497,0.11264343261718746,0.5078125,128,19.57955457875505,discovery,
