layer,layer_disc_mean,layer_val_mean,layer_val_lo,layer_val_hi,layer_samepass_val_mean,layer_samepass_val_lo,layer_samepass_val_hi,n_candidates,max_disc_activity,threshold,e_star,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_spec,val_spec_lo,val_spec_hi,val_control,val_rescue_p,concentration,concentration_lo,concentration_hi
20,0.00341796875,0.00634765625,-0.035168457031249996,0.04688720703124982,0.015625,-0.02490234375,0.05712890625,1,80,64,38.0,80.0,0.00244140625,77.0,-0.014892578125,-0.04052734375,0.009765625,-0.01643880208333333,-0.04736531575520834,0.013918050130208307,0.0015462239583333356,0.2727,-0.953125,-12.5,11.12723214285711
21,0.0048828125,0.0029296875,-0.03662109375,0.0419921875,0.041748046875,-0.004888916015624998,0.08984985351562491,0,55,64,,,,,,,,,,,,,,,
22,0.00732421875,0.008056640625,-0.0302734375,0.04736328125,0.02685546875,-0.008544921875,0.06298828125,1,64,64,79.0,64.0,-0.006103515625,68.0,0.00927734375,-0.01123046875,0.02880859375,0.0025227864583333304,-0.022381591796875003,0.02799886067708328,0.006754557291666667,0.3981,0.34545454545454546,-2.3162280701754385,3.28
23,-0.013916015625,0.0087890625,-0.0283203125,0.04443359375,0.03564453125,-0.00146484375,0.07421875,1,67,64,10.0,67.0,-0.000732421875,65.0,0.013671875,-0.00537109375,0.03369140625,-0.0005696614583333335,-0.027587890625,0.02482096354166667,0.014241536458333334,0.183,0.3835616438356164,-0.6210815047021943,2.7783333333333253
24,0.017578125,0.01611328125,-0.02001953125,0.05322265625,0.047607421875,0.005126953125,0.09204711914062491,1,71,64,70.0,71.0,-0.00439453125,69.0,-0.001220703125,-0.02197265625,0.0185546875,-0.013509114583333332,-0.04069010416666666,0.014160156249999997,0.012288411458333336,0.9287,-0.02564102564102564,-1.1036398467432949,0.6363636363636364
25,-0.0078125,0.04150390625,-0.00927734375,0.0966796875,0.019287109375,-0.02197265625,0.061279296875,2,93,64,30.0,93.0,0.00732421875,87.0,0.01708984375,-0.012451171875,0.0458984375,0.006591796875000002,-0.021651204427083334,0.03703002929687497,0.010498046875,0.2743,0.8860759493670886,,
26,-0.00390625,0.0029296875,-0.034680175781249996,0.04102783203124982,0.001708984375,-0.040045166015624994,0.044677734375,3,88,64,41.0,70.0,0.01611328125,76.0,0.0,-0.023199462890624998,0.021484375,0.003336588541666668,-0.024088541666666664,0.031007893880208307,-0.0033365885416666644,1.0,0.0,-6.07172619047619,7.231249999999993
27,0.00927734375,0.0380859375,-0.00439453125,0.08203125,-0.0009765625,-0.044189453125,0.04224243164062491,1,98,64,74.0,98.0,-0.01953125,104.0,-0.02099609375,-0.0556640625,0.011962890625,-0.011149088541666666,-0.04354248046874999,0.019535319010416607,-0.009847005208333329,0.2281,21.5,-16.3375,14.202142857142825
28,0.021240234375,0.009765625,-0.03076171875,0.0517578125,0.0107421875,-0.02490234375,0.0478515625,4,93,64,125.0,93.0,0.003662109375,99.0,-0.013916015625,-0.039794921875,0.0126953125,0.010823567708333332,-0.018554687499999997,0.04093424479166666,-0.02473958333333333,0.3022,-1.2954545454545454,-14.4025,12.0
29,0.005126953125,-0.00537109375,-0.05322265625,0.0439453125,0.005126953125,-0.03564453125,0.04785766601562491,3,119,64,25.0,98.0,0.00439453125,106.0,0.0009765625,-0.022467041015624998,0.02490234375,0.0036621093749999983,-0.021974690755208335,0.028485107421874968,-0.002685546875,0.9498,0.19047619047619047,-5.900227272727273,7.333333333333333
30,0.028564453125,0.009765625,-0.03466796875,0.05517578125,0.036865234375,-0.011480712890624998,0.08399047851562491,0,61,64,,,,,,,,,,,,,,,
31,0.02392578125,0.004150390625,-0.034912109375,0.04297485351562491,0.020751953125,-0.02392578125,0.068603515625,1,84,64,57.0,84.0,0.00048828125,98.0,0.031494140625,0.00341796875,0.06201171875,0.010253906249999997,-0.016601562499999997,0.03735351562499999,0.021240234375000003,0.0333,1.5176470588235293,-10.288571428571428,13.300192307692306
32,0.0107421875,0.02978515625,-0.03173828125,0.09423828125,0.048583984375,-0.003912353515624998,0.1044921875,0,63,64,,,,,,,,,,,,,,,
33,0.00146484375,0.01708984375,-0.06494140625,0.09327392578124982,0.036376953125,-0.041748046875,0.11548461914062491,2,86,64,93.0,65.0,0.0029296875,71.0,0.001708984375,-0.020758056640624998,0.0234375,-0.012939453125000003,-0.047528076171875,0.021405029296874975,0.014648437500000003,0.8971,0.04697986577181208,-2.6671052631578944,2.7777777777777777
34,0.00244140625,-0.03564453125,-0.08839111328124999,0.0146484375,-0.02880859375,-0.078125,0.02001953125,3,75,64,69.0,75.0,0.0078125,74.0,0.0087890625,-0.013671875,0.03173828125,0.00048828124999999653,-0.030273437499999997,0.03157552083333333,0.00830078125,0.4684,-0.3050847457627119,-4.5,3.866874999999997
35,0.0029296875,0.03173828125,-0.026373291015624998,0.08423461914062491,0.02392578125,-0.03076171875,0.0771484375,2,79,64,11.0,64.0,0.0048828125,75.0,0.021728515625,-0.00439453125,0.04859619140624982,0.010009765625000002,-0.018556722005208335,0.0390625,0.01171875,0.108,0.9081632653061225,-6.0,7.501562499999977
36,0.00341796875,0.0341796875,-0.0185546875,0.08740234375,0.0615234375,-0.00048828125,0.12745361328124982,1,85,64,60.0,85.0,-0.012939453125,87.0,-0.0078125,-0.036145019531249996,0.02001953125,-0.013020833333333332,-0.04264322916666667,0.015303548177083272,0.005208333333333334,0.6091,-0.12698412698412698,,
37,0.05078125,0.087890625,0.02978515625,0.14501953125,0.08154296875,0.011712646484375002,0.15283203125,3,96,64,96.0,96.0,-0.00048828125,107.0,0.037841796875,-0.005126953125,0.08374633789062491,0.01497395833333334,-0.026049804687500008,0.057942708333333336,0.022867838541666664,0.0974,0.46407185628742514,-0.18135946856287422,1.2252458610442887
38,0.04931640625,0.00341796875,-0.056640625,0.0634765625,0.019287109375,-0.039556884765624994,0.07763671875,4,98,64,56.0,76.0,-0.00390625,64.0,-0.006103515625,-0.022216796875,0.009765625,-0.013427734375,-0.03621419270833333,0.009197998046874978,0.0073242187500000035,0.4798,-0.31645569620253167,-4.285924369747899,4.0
39,0.07275390625,0.09130859375,0.001953125,0.1787109375,0.110595703125,0.017578125,0.2070373535156249,4,109,64,74.0,109.0,0.073974609375,115.0,0.112548828125,0.052734375,0.176513671875,0.10888671875,0.05517578125000001,0.16414998372395825,0.003662109374999999,0.0003,1.0176600441501105,0.5102178265596752,3.481119407143252
40,0.06298828125,0.0400390625,-0.041027832031249996,0.12109375,0.046630859375,-0.02783203125,0.12183227539062491,4,106,64,61.0,104.0,0.0390625,102.0,0.044921875,0.00830078125,0.08106689453124982,0.05875651041666667,0.024084472656249994,0.095703125,-0.013834635416666668,0.0181,0.9633507853403142,-5.804999999999998,7.394805194805182
41,0.023681640625,0.1611328125,0.06932373046875001,0.2573364257812498,0.12841796875,0.027581787109375002,0.22926635742187473,5,125,64,98.0,91.0,0.052001953125,89.0,0.045654296875,0.010498046875,0.08203735351562491,0.05118815104166666,0.010660807291666664,0.092529296875,-0.005533854166666667,0.0141,0.35551330798479086,0.08859712947273997,1.0922214814474203
42,0.10986328125,0.1103515625,-0.03076171875,0.255126953125,0.18408203125,0.045397949218750004,0.32546386718749964,4,117,64,40.0,91.0,0.04541015625,81.0,0.029296875,-0.01220703125,0.06640625,0.011393229166666664,-0.033447265625,0.05224609374999999,0.017903645833333332,0.158,0.15915119363395225,-0.10714818233456404,0.5289000498052008
43,0.23779296875,0.216552734375,0.099359130859375,0.3371643066406249,0.261962890625,0.14940185546875,0.3801330566406249,4,110,64,126.0,84.0,0.157958984375,77.0,0.146728515625,0.080316162109375,0.2187561035156249,0.13484700520833331,0.06436971028645833,0.2092305501302083,0.011881510416666664,0.0,0.5601118359739049,0.33730326163973395,0.877320919875827
44,0.144775390625,0.25390625,0.12449951171875001,0.38771972656249964,0.270751953125,0.143310546875,0.4082092285156249,4,123,64,28.0,94.0,0.111083984375,98.0,0.163818359375,0.094232177734375,0.2392639160156249,0.15608723958333331,0.0908203125,0.22819010416666669,0.007731119791666664,0.0,0.6050495942290351,0.3737625530133388,0.9953016828456129
45,-0.117431640625,-0.103271484375,-0.25830078125,0.04443969726562491,-0.10302734375,-0.256842041015625,0.04931640625,3,124,64,1.0,104.0,-0.002197265625,101.0,-0.01904296875,-0.04248046875,0.00439453125,0.0037434895833333356,-0.031007893880208335,0.036785888671874975,-0.022786458333333336,0.1276,0.1848341232227488,-1.1728555143915642,1.2610785953177228
46,-0.291015625,-0.33544921875,-0.4560546875,-0.22412109375,-0.35400390625,-0.46876220703125,-0.24754638671875018,1,72,64,44.0,72.0,-0.02685546875,64.0,-0.00537109375,-0.01904296875,0.00927734375,0.022705078125,0.001218668619791664,0.04329427083333333,-0.028076171875,0.5157,0.015172413793103448,-0.02695131165377176,0.056702216811080876
47,0.2744140625,0.0849609375,-0.2314453125,0.40771484375,0.1083984375,-0.20020751953125,0.43215332031249964,7,88,64,60.0,88.0,0.075439453125,80.0,0.05517578125,0.00439453125,0.10792236328124982,0.12223307291666667,0.05729166666666668,0.19026692708333334,-0.06705729166666666,0.0441,0.509009009009009,-4.07941270860077,4.5
