layer,layer_disc_mean,layer_val_mean,layer_val_lo,layer_val_hi,layer_samepass_val_mean,layer_samepass_val_lo,layer_samepass_val_hi,n_candidates,max_disc_activity,threshold,e_star,disc_active,disc_allcase_mean,val_active,val_rescue,val_rescue_lo,val_rescue_hi,val_spec,val_spec_lo,val_spec_hi,val_control,val_rescue_p,concentration,concentration_lo,concentration_hi
20,0.01416015625,0.045654296875,-0.016851806640624998,0.126220703125,0.072509765625,-0.008312988281249996,0.1804260253906249,2,78,64,34.0,67.0,0.00537109375,71.0,0.004150390625,-0.013922119140624998,0.02294921875,-0.015950520833333332,-0.04475911458333333,0.009765625,0.020100911458333332,0.6823,0.05723905723905724,-0.8788770053475935,1.0005376344085943
21,-0.00927734375,0.056640625,-0.0185546875,0.15087890625,0.06005859375,-0.02197265625,0.16650390625,5,103,64,3.0,103.0,0.01513671875,93.0,0.016845703125,-0.007818603515624998,0.04443359375,0.012369791666666666,-0.0146484375,0.04183349609374995,0.004475911458333334,0.222,0.2804878048780488,-1.9713235294117646,2.916776315789472
22,0.0224609375,0.07275390625,-0.0005004882812499958,0.16064453125,0.078369140625,0.0048828125,0.1762756347656249,5,100,64,47.0,69.0,0.01416015625,66.0,-0.0009765625,-0.01806640625,0.01611328125,-0.017415364583333332,-0.04655354817708333,0.007975260416666664,0.016438802083333336,0.9546,-0.012461059190031152,-0.560041095890411,0.41864678126053195
23,-0.0302734375,0.0048828125,-0.048828125,0.06640625,0.041015625,-0.01171875,0.0947265625,5,96,64,119.0,96.0,0.0107421875,101.0,0.0478515625,0.00927734375,0.091796875,0.03133138020833334,-0.0016276041666666683,0.06941935221354165,0.016520182291666668,0.0184,1.1666666666666667,-4.200769230769231,7.818181818181818
24,-0.03515625,0.03515625,-0.01123046875,0.08056640625,0.049560546875,0.0068359375,0.095703125,6,102,64,94.0,75.0,0.00341796875,84.0,0.031494140625,0.0048828125,0.059326171875,0.03955078124999999,0.011551920572916664,0.06917317708333333,-0.008056640625,0.0266,0.6354679802955665,0.06336435601198119,2.6445098039215678
25,0.0205078125,0.116943359375,0.0322265625,0.2187561035156249,0.1240234375,0.043933105468750004,0.22171630859374947,5,107,64,54.0,96.0,0.00830078125,97.0,0.010498046875,-0.03173828125,0.05712890625,0.004394531250000001,-0.04150797526041666,0.05371093749999999,0.006103515625000002,0.6545,0.08464566929133858,-0.4398313492063492,0.4684234587251824
26,0.00048828125,-0.01953125,-0.08154296875,0.03809814453124982,0.01904296875,-0.033215332031249996,0.07470703125,5,118,64,123.0,85.0,0.00390625,79.0,-0.001953125,-0.0185546875,0.013671875,-0.012369791666666664,-0.030924479166666668,0.005859375,0.010416666666666668,0.8565,-0.10256410256410256,-3.2033333333333323,3.0
27,-0.009765625,-0.017822265625,-0.07666015625,0.035400390625,-0.00048828125,-0.03466796875,0.03369140625,4,84,64,43.0,84.0,-0.00048828125,89.0,0.014404296875,-0.010748291015624998,0.042724609375,0.010823567708333334,-0.017256673177083338,0.04020589192708328,0.0035807291666666657,0.3422,-29.5,-12.75,18.004166666666606
28,0.02783203125,0.035888671875,-0.013671875,0.09277954101562491,0.039794921875,-0.01611328125,0.10595703125,4,102,64,5.0,65.0,0.01806640625,67.0,-0.0224609375,-0.04638671875,0.0,-0.030354817708333336,-0.05281778971354166,-0.008868408203125027,0.007893880208333332,0.0741,-0.5644171779141104,-7.647549019607843,5.333333333333333
29,-0.0380859375,0.02978515625,-0.0205078125,0.078125,0.026123046875,-0.02978515625,0.083740234375,4,122,64,25.0,83.0,-0.00390625,84.0,0.001708984375,-0.01513671875,0.01904296875,-0.00024414062500000173,-0.01953125,0.019940185546874975,0.0019531249999999983,0.8642,0.06542056074766354,-2.250231481481481,2.471323529411754
30,0.00537109375,0.02001953125,-0.02490234375,0.0654296875,0.0263671875,-0.013671875,0.06689453125,4,90,64,113.0,79.0,0.0078125,74.0,0.00537109375,-0.01171875,0.0224609375,-0.003011067708333335,-0.026774088541666664,0.020345052083333336,0.008382161458333332,0.5851,0.2037037037037037,-1.953571428571428,2.538636363636361
31,-0.01171875,-0.00439453125,-0.05126953125,0.04052734375,0.005615234375,-0.03564453125,0.04638671875,4,105,64,23.0,84.0,-0.00048828125,81.0,0.00341796875,-0.01318359375,0.0205078125,0.0021158854166666665,-0.016764322916666664,0.02067464192708328,0.0013020833333333322,0.7367,0.6086956521739131,-4.8,5.002272727272694
32,-0.0068359375,0.015625,-0.033203125,0.0634765625,0.004150390625,-0.047607421875,0.05419921875,4,102,64,7.0,77.0,0.00390625,59.0,0.0048828125,-0.00732421875,0.017578125,0.010742187500000002,-0.007975260416666664,0.02994791666666667,-0.005859375000000002,0.4989,1.1764705882352942,,
33,0.013671875,0.05810546875,0.015625,0.09912109375,0.0634765625,0.0146484375,0.11328125,5,113,64,30.0,76.0,0.02001953125,60.0,-0.00341796875,-0.025390625,0.013671875,-0.020914713541666664,-0.0439453125,0.0006510416666666648,0.017496744791666668,0.8223,-0.05384615384615385,-0.7810688117234788,0.26668103448275843
34,-0.03271484375,0.000732421875,-0.05712890625,0.05224609375,0.017578125,-0.0380859375,0.0703125,6,107,64,49.0,93.0,0.015625,94.0,0.010986328125,-0.010986328125,0.032958984375,0.007486979166666665,-0.013671874999999997,0.02978515625,0.0034993489583333356,0.3375,0.625,-5.25,6.367045454545405
35,0.00244140625,0.0234375,-0.04052734375,0.09375,0.03076171875,-0.031750488281249996,0.1015625,6,110,64,119.0,110.0,0.0185546875,108.0,-0.01220703125,-0.048828125,0.02197265625,-0.022298177083333336,-0.05859374999999999,0.010742187499999998,0.010091145833333336,0.5225,-0.3968253968253968,-7.222916666666666,5.5
36,0.02783203125,-0.03662109375,-0.091796875,0.01806640625,-0.037353515625,-0.089849853515625,0.0126953125,5,116,64,94.0,109.0,0.04443359375,114.0,0.015625,-0.02001953125,0.05126953125,0.007405598958333337,-0.025227864583333336,0.040773518880208304,0.00821940104166667,0.4054,-0.41830065359477125,,
37,0.12255859375,0.1875,0.0791015625,0.3042114257812498,0.189208984375,0.084954833984375,0.3000549316406249,7,118,64,54.0,107.0,0.103515625,103.0,0.122314453125,0.067138671875,0.1831115722656249,0.10750325520833334,0.05387166341145834,0.16585286458333331,0.014811197916666664,0.0,0.6464516129032258,0.4186726298309179,1.1423327612409586
