model,label,protocol,intended,base,case_set,L_star,layer_rescue,layer_lo,layer_hi,selected_expert,n_candidates,disc_active,val_active,expert_rescue,expert_lo,expert_hi,spec,spec_lo,spec_hi,coalition_clean,coalition_union,joint_winner,joint_rescue,joint_spec,joint_differs,val_delta_clean,val_drop,layer_rescue_over_drop,expert_rescue_over_drop,sink_final_frac,sink_final_self_attn,sink_layer,funnel_pass,pattern,stability_ref
qwen3_coder,Qwen3-Coder-30B-A3B-Instruct,default (= nobos),False,False,strict,44,0.9718246459960938,0.7729461669921875,1.1771484375,L44E069,4,116,105,0.48802947998046875,0.35399341583251953,0.6354898452758787,0.41510518391927087,0.2726273854573568,0.5693809509277336,0.977386474609375,0.9882545471191406,L44E069,0.48802947998046875,0.41510518391927087,False,7.0170440673828125,5.953887939453125,0.16322521617451832,0.08196820043363046,0.0,0.0,2,253/256,A,25/25
qwen3_coder,Qwen3-Coder-30B-A3B-Instruct,default (= nobos),False,False,relaxed,44,0.92010498046875,0.7967670440673829,1.0449874877929686,L44E069,4,222,225,0.531402587890625,0.43923263549804686,0.6235107421874999,0.46842193603515625,0.37477569580078124,0.5629495620727539,0.9246978759765625,0.9309844970703125,L44E069,0.531402587890625,0.46842193603515625,False,6.9898681640625,6.1994476318359375,0.14841725184413973,0.08571773155429536,0.0,0.0,2,491/512,A,25/25
qwen3_coder,Qwen3-Coder-30B-A3B-Instruct,chat,True,False,paper,44,1.181365966796875,0.9644142150878906,1.406629180908203,L44E069,4,118,116,0.66033935546875,0.504010009765625,0.8247146606445311,0.589599609375,0.43390096028645836,0.7535512288411457,1.19158935546875,1.205413818359375,L42E115,0.6597900390625,0.6308390299479166,True,8.441436767578125,7.919891357421875,0.14916441570752045,0.08337732497427934,0.0,0.3525046382189239,2,223/256,A,25/25
qwen3_coder,Qwen3-Coder-30B-A3B-Instruct,chat,True,False,strict,44,1.066009521484375,0.8553199768066406,1.2805488586425782,L44E069,5,117,115,0.47222900390625,0.3373992919921875,0.6146865844726562,0.385009765625,0.234942626953125,0.5363830566406249,1.07745361328125,1.082061767578125,L44E069,0.47222900390625,0.385009765625,False,10.31146240234375,8.67718505859375,0.12285199800234935,0.054421912258118973,0.0,0.3525046382189239,2,251/256,A,25/25
qwen3_coder,Qwen3-Coder-30B-A3B-Instruct,chat,True,False,relaxed,44,1.2484283447265625,1.0935504913330079,1.4073978424072264,L44E069,4,232,236,0.635589599609375,0.5242584228515625,0.7510154724121092,0.55242919921875,0.43334554036458334,0.6778889973958331,1.23760986328125,1.252197265625,L42E115,0.680511474609375,0.6559855143229166,True,9.898391723632812,8.555191040039062,0.14592641343528223,0.07429285876081067,0.0,0.3525046382189239,2,493/512,A,25/25
mixtral,Mixtral-8x7B-v0.1,default,True,True,paper,19,0.5712890625,0.4609375,0.6924194335937495,L19E002,2,76,84,0.36279296875,0.2665771484375,0.4712036132812498,0.1923828125,0.09375,0.29638671875,0.55859375,0.57958984375,L19E002,0.36279296875,0.1923828125,False,6.642578125,4.9765625,0.11479591836734694,0.07290031397174254,0.0,0.0,1,232/256,A,17/25
mixtral,Mixtral-8x7B-v0.1,default,True,True,strict,19,0.63525390625,0.51416015625,0.7656494140624996,L19E002,2,79,90,0.42578125,0.31883544921875,0.5459106445312498,0.25732421875,0.14794921875,0.37890625,0.6357421875,0.6494140625,L19E002,0.42578125,0.25732421875,False,6.8330078125,5.5458984375,0.11454481422785702,0.07677407994365205,0.0,0.0,1,255/256,A,20/25
mixtral,Mixtral-8x7B-v0.1,default,True,True,relaxed,19,0.599853515625,0.522698974609375,0.6853088378906249,L19E002,2,166,162,0.356201171875,0.287347412109375,0.429931640625,0.175048828125,0.10302734375,0.2531799316406249,0.593017578125,0.59814453125,L19E002,0.356201171875,0.175048828125,False,6.6787109375,5.201904296875,0.11531421598535692,0.06847514901206177,0.0,0.0,1,494/512,A,25/25
mixtral,Mixtral-8x7B-v0.1,nobos,False,True,paper,19,0.445587158203125,0.31786956787109377,0.5687911987304687,L19E006,1,91,83,0.0628662109375,-0.009035491943359375,0.134033203125,-0.158599853515625,-0.2524742126464844,-0.06548995971679689,0.4415740966796875,0.425628662109375,L18E001,0.139404296875,0.098419189453125,True,5.48583984375,4.90985107421875,0.09075370137861591,0.012804097311139564,0.24609375,0.078125,1,249/256,B,8/25
mixtral_instruct,Mixtral-8x7B-Instruct-v0.1,default,False,False,paper,19,0.539794921875,0.42552490234375,0.6650512695312498,L19E002,2,78,86,0.3203125,0.227294921875,0.426513671875,0.164794921875,0.065911865234375,0.2680725097656249,0.518798828125,0.542724609375,L19E002,0.3203125,0.164794921875,False,7.1336669921875,5.4398193359375,0.09923030316630388,0.058882929784799046,0.0,0.0,1,239/256,A,19/25
mixtral_instruct,Mixtral-8x7B-Instruct-v0.1,default,False,False,strict,19,0.508056640625,0.402337646484375,0.6171936035156249,L19E002,1,92,80,0.288818359375,0.19675292968750002,0.38720703125,0.16162109375,0.06396484375,0.2629455566406249,0.48974609375,0.498779296875,L19E002,0.288818359375,0.16162109375,False,7.0506591796875,5.3778076171875,0.09447281806832368,0.05370559527862899,0.0,0.0,1,255/256,A,20/25
mixtral_instruct,Mixtral-8x7B-Instruct-v0.1,default,False,False,relaxed,19,0.565185546875,0.4847412109375,0.6503936767578125,L19E002,2,170,160,0.317138671875,0.250238037109375,0.39075012207031246,0.15087890625,0.08226623535156251,0.22509765625,0.5458984375,0.5537109375,L19E002,0.317138671875,0.15087890625,False,7.35540771484375,5.65106201171875,0.10001404084806723,0.05612018965945543,0.0,0.0,1,501/512,A,25/25
mixtral_instruct,Mixtral-8x7B-Instruct-v0.1,nobos,False,False,paper,19,0.5118408203125,0.38726806640625,0.6434371948242187,L19E006,1,91,83,0.079010009765625,0.023467254638671876,0.14361724853515623,-0.2171630859375,-0.30780487060546874,-0.1298828125,0.505706787109375,0.494903564453125,L18E001,0.192230224609375,0.12164306640625,True,4.942138671875,4.22509765625,0.1211429562001618,0.018700161793597597,0.23827392120075047,0.054409005628517824,1,226/256,B,9/25
mixtral_instruct,Mixtral-8x7B-Instruct-v0.1,nobos,False,False,strict,19,0.4442138671875,0.34055480957031253,0.5523681640625,L19E006,1,88,80,0.03387451171875,-0.002444458007812499,0.06976318359375,-0.22430419921875,-0.30615234375,-0.15075378417968754,0.43341064453125,0.430419921875,L21E001,0.311279296875,0.1802978515625,True,5.4495849609375,4.7249755859375,0.09401400263518227,0.007169245872839538,0.23827392120075047,0.054409005628517824,1,256/256,B,6/25
mixtral_instruct,Mixtral-8x7B-Instruct-v0.1,nobos,False,False,relaxed,19,0.4808349609375,0.3979179382324219,0.5689727783203125,L19E006,1,173,160,0.0968170166015625,0.061294174194335936,0.13611488342285147,-0.17352294921875,-0.2367584228515625,-0.1121826171875,0.4755096435546875,0.4784088134765625,L18E001,0.1457366943359375,0.091217041015625,True,4.86761474609375,4.364105224609375,0.11017950672363516,0.022184849268896457,0.23827392120075047,0.054409005628517824,1,476/512,B,0/25
mixtral_instruct,Mixtral-8x7B-Instruct-v0.1,chat,True,False,paper,31,1.7849140167236328,1.2618834972381592,2.3333364486694332,L31E002,2,78,85,1.1925048828125,0.8103473663330079,1.6007568359375,0.7127189636230469,0.32761287689208984,1.1262398242950438,1.7898674011230469,1.7621574401855469,L31E002,1.1925048828125,0.7127189636230469,False,12.467086791992188,9.098840713500977,0.19616938826889832,0.13106118904170352,0.0,0.0,1,218/256,A,19/25
mixtral_instruct,Mixtral-8x7B-Instruct-v0.1,chat,True,False,strict,31,2.5438804626464844,2.0609256744384767,3.036083316802978,L31E002,2,87,83,1.55950927734375,1.1653945922851563,1.9687490463256836,0.7322616577148438,0.3282048225402832,1.1470012664794917,2.531965732574463,2.610201835632324,L31E002,1.55950927734375,0.7322616577148438,False,12.60993480682373,10.67635440826416,0.23827238824868563,0.14607132900502,0.0,0.0,1,253/256,A,20/25
mixtral_instruct,Mixtral-8x7B-Instruct-v0.1,chat,True,False,relaxed,31,2.4354958534240723,2.091632091999054,2.789997386932373,L31E002,2,174,182,1.6823396682739258,1.4138248205184936,1.957592988014221,0.9852380752563477,0.7141865491867065,1.2728982925415038,2.3580141067504883,2.414799690246582,L31E002,1.6823396682739258,0.9852380752563477,False,12.602382183074951,10.248103618621826,0.23765332046394744,0.16416107124609347,0.0,0.0,1,498/512,A,25/25
olmoe,OLMoE-1B-7B-0125,default (= nobos),True,False,strict,13,1.4221328496932983,1.085618144273758,1.7702607452869414,L13E056,3,100,102,0.9373965263366699,0.671114194393158,1.21768958568573,0.8740253448486328,0.6020936091740925,1.1524773240089414,1.4138031005859375,1.4164619445800781,L13E056,0.9373965263366699,0.8740253448486328,False,6.0685577392578125,6.258776664733887,0.227222175494221,0.1497731228561942,0.0,0.02734375,2,256/256,A,25/25
olmoe,OLMoE-1B-7B-0125,default (= nobos),True,False,relaxed,12,1.2908515930175781,1.127559757232666,1.4654075741767882,L12E040,6,199,201,0.687187671661377,0.5617431402206421,0.821502673625946,0.6187727451324463,0.47775947848955796,0.7658195416132609,1.239131212234497,1.2698654532432556,L13E056,1.0548477172851562,0.9998625423759222,True,6.050304412841797,5.923816680908203,0.21790876770002826,0.11600420956241028,0.0,0.02734375,2,494/512,A,25/25
olmoe_instruct,OLMoE-1B-7B-0125-Instruct,default (= nobos),False,False,strict,13,1.1749048233032227,0.7958934307098389,1.557203960418701,L13E056,3,103,106,0.7449691295623779,0.43509784936904905,1.0654720306396483,0.6635289192199707,0.34182821710904443,0.9820818364620207,1.2162773609161377,1.1675894260406494,L13E056,0.7449691295623779,0.6635289192199707,False,6.9274444580078125,6.524518966674805,0.18007531732289656,0.11417993163441573,0.0,0.029296875,2,253/256,A,25/25
olmoe_instruct,OLMoE-1B-7B-0125-Instruct,default (= nobos),False,False,relaxed,13,1.1900088787078857,0.9357918262481689,1.4564927697181702,L13E056,3,200,223,0.7612283825874329,0.5509101063013077,0.9803229168057435,0.701466719309489,0.4901718589166801,0.9245258231957744,1.2031338214874268,1.2064549922943115,L13E056,0.7612283825874329,0.701466719309489,False,6.914593026041985,6.452562376856804,0.18442423477780734,0.11797303739638473,0.0,0.029296875,2,488/512,A,25/25
olmoe_instruct,OLMoE-1B-7B-0125-Instruct,chat,True,False,strict,12,1.2855320423841476,1.0289418816566467,1.546525003761053,L12E040,6,104,103,0.5178437530994415,0.3635989375412464,0.6747482195496558,0.4125741322835286,0.2502116481463114,0.5816661735375721,1.2594452202320099,1.3085923492908478,L12E040,0.5178437530994415,0.4125741322835286,False,7.652198791503906,7.3355851620435715,0.1752460115978014,0.07059338030439809,0.0,0.0,2,255/256,A,25/25
olmoe_instruct,OLMoE-1B-7B-0125-Instruct,chat,True,False,relaxed,13,1.3078227043151855,1.0344995617866517,1.5981056332588188,L13E056,3,207,216,0.7565556764602661,0.5449348002672195,0.973135671019554,0.6690403421719868,0.45417457024256386,0.8950785214702284,1.2843924760818481,1.31222403049469,L13E056,0.7565556764602661,0.6690403421719868,False,7.725928783416748,7.378610610961914,0.1772451174442299,0.10253362270348043,0.0,0.0,2,499/512,A,25/25
